,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
180,1,1,282,75,75,4,55909,0,0,-2,2,36.1,0,381,2,1.7,0.8,0,Chris,0.0,16,1,47.4,244,False,342.6,0,0,0,0,1217,Toe Injury - 75% chance of playing,58,0,0,0,55909.jpg,2.9,0,0,Smalling,1.1,False,12,d,11,1,95.0,52,29061,0,62370,0,0.0,9.0,Smalling,0,123,81
181,0,4,362,100,100,5,76359,0,0,-5,5,35.2,0,64,2,2.2,1.0,6,Phil,0.0,14,0,56.3,245,False,437.8,0,0,0,0,1584,,45,0,0,0,76359.jpg,3.1,0,0,Jones,0.7,False,4,a,11,1,89.0,55,240803,0,231504,0,0.0,12.2,Jones,2,116,85
182,3,4,202,0,0,4,106760,0,0,-3,3,160.5,2,92,2,0.0,0.0,0,Luke,0.0,6,0,36.5,247,False,139.2,0,0,0,0,688,Foot injury - Expected back 12 Aug,52,0,0,0,106760.jpg,4.1,0,0,Shaw,6.4,False,23,i,11,1,64.0,45,382600,0,869809,0,0.0,8.7,Shaw,1,48,48
183,0,7,394,0,0,8,58893,0,0,-3,3,71.0,0,192,2,0.0,0.0,0,Marcos,0.0,13,1,66.5,248,False,446.4,0,0,0,0,1663,Knee injury - Unknown return date,52,0,0,0,58893.jpg,3.7,0,0,Rojo,0.7,False,5,i,11,1,147.0,77,103924,0,110026,0,0.0,14.8,Rojo,5,23,22
184,3,9,612,100,100,12,20695,0,0,3,-3,614.8,2,186,2,2.3,1.0,0,Antonio,0.0,20,1,140.6,250,False,547.2,0,0,0,0,2483,,58,0,0,0,20695.jpg,4.3,0,0,Valencia,12.4,False,25,a,11,1,243.0,120,1104769,0,1014182,0,0.0,20.7,Valencia,5,146,110
185,0,6,319,None,None,9,40002,0,0,-5,5,74.0,1,257,2,4.5,1.0,0,Matteo,0.0,8,0,29.4,251,False,206.0,0,0,0,0,1333,,50,0,0,0,40002.jpg,3.9,0,0,Darmian,1.0,False,36,a,11,1,13.0,70,57630,0,92095,0,0.0,14.0,Darmian,3,27,22
186,0,0,36,100,100,1,201084,0,0,-4,4,2.9,0,40,2,1.2,1.0,6,Timothy,0.0,0,0,2.4,253,False,12.8,0,0,0,0,97,,41,0,0,0,201084.jpg,2.3,0,0,Fosu-Mensah,0.2,False,24,a,11,1,8.0,9,5238,0,10107,0,0.0,2.2,Fosu-Mensah,0,39,7
187,2,14,525,100,100,9,58877,0,0,-3,3,426.6,2,477,2,3.8,1.0,0,Daley,0.0,17,1,108.2,254,False,534.0,0,0,0,0,1830,,52,0,0,0,58877.jpg,4.3,0,0,Blind,4.7,False,17,a,11,1,122.0,98,520834,0,495245,0,0.0,18.8,Blind,2,28,48
188,0,14,542,100,75,13,197365,0,0,0,0,31.0,1,0,2,3.8,0.8,7,Eric,0.0,15,0,61.2,255,False,481.2,0,0,0,0,2058,,55,0,0,0,197365.jpg,4.2,0,0,Bailly,8.3,False,3,a,11,1,98.0,105,419364,0,619970,0,0.0,19.1,Bailly,4,55,23
204,5,9,575,100,75,12,40146,0,0,1,-1,442.4,2,415,2,3.0,0.4,2,Ryan,0.0,36,2,121.5,296,False,517.4,0,0,0,0,2507,,56,0,0,0,40146.jpg,4.4,0,0,Bertrand,3.9,False,21,a,13,20,255.0,123,278302,0,155465,0,0.0,22.0,Bertrand,3,103,110
205,0,10,592,100,100,11,38580,0,0,-2,2,128.0,1,487,2,5.5,0.0,2,Jose,0.0,46,0,100.2,297,False,654.4,0,0,0,0,2934,,53,0,0,0,38580.jpg,3.0,0,0,Fonte,3.2,False,23,a,20,21,221.0,98,158939,0,245913,0,0.0,18.5,Fonte,4,34,23
206,1,8,469,None,None,7,80447,0,0,0,0,62.8,1,152,2,4.2,0.5,2,Maya,0.0,32,1,87.5,298,False,532.6,0,0,0,0,2070,,45,0,0,0,80447.jpg,3.4,0,0,Yoshida,5.9,False,3,a,13,20,277.0,78,303257,0,63196,0,0.0,17.3,Yoshida,2,76,37
207,0,0,80,100,100,1,169359,0,0,-4,4,87.9,0,169,2,1.5,0.5,0,Matt,0.0,4,0,16.5,299,False,64.6,0,0,0,0,373,,41,0,0,0,169359.jpg,2.4,0,0,Targett,0.2,False,33,a,13,20,12.0,12,14063,0,37697,0,0.0,2.9,Targett,0,2,2
208,3,11,584,100,75,11,58822,0,0,-1,1,648.9,1,320,2,2.8,0.4,2,Cédric,0.0,36,0,139.6,301,False,591.0,0,0,0,0,2515,,49,0,0,0,58822.jpg,3.4,0,0,Soares,2.7,False,2,a,13,20,155.0,102,248138,0,186986,0,0.0,20.8,Cédric,7,85,110
209,0,5,140,None,None,3,56192,0,0,-2,2,114.7,0,203,2,0.5,0.5,0,Cuco,0.0,6,0,22.7,302,False,94.2,0,0,0,0,592,,43,0,0,0,56192.jpg,3.4,0,0,Martina,0.4,False,15,a,13,20,20.0,31,62022,0,56025,0,0.0,7.2,Martina,0,55,81
210,0,14,435,75,0,7,97032,0,0,1,-1,81.1,3,452,2,0.0,0.0,0,Virgil,0.0,23,1,86.0,303,False,546.2,0,0,0,0,1852,Ankle injury - 75% chance of playing,56,0,0,0,97032.jpg,3.6,1,0,van Dijk,5.3,False,17,d,13,20,232.0,75,420817,0,723277,0,0.0,13.4,van Dijk,3,78,37
