,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
78,4,7,216,0,0,6,90517,0,0,-2,2,477.9,1,0,3,0.0,0.0,0,Robbie,0.0,12,1,97.3,87,False,273.8,0,0,0,0,1277,Knee injury - Unknown return date,2017-12-02T17:01:15Z,53,0,0,0,90517.jpg,3.7,0,0,Brady,0.4,False,12,i,4,90,221.0,56,199096,0,213043,0,0.0,10.6,Brady,3,20,69
79,1,1,189,None,None,2,60551,0,0,-2,2,134.8,0,0,3,2.2,2.8,6,Ashley,2.8,17,0,40.7,88,False,182.4,0,0,0,0,1105,,None,43,0,0,0,60551.jpg,1.8,0,0,Westwood,0.1,False,18,a,4,90,90.0,35,10771,0,10356,0,0.7,8.1,Westwood,2,111,101
80,0,0,3,0,0,0,12813,0,0,-4,4,0.7,0,0,3,0.0,0.0,0,Jonathan,0.0,2,0,1.1,89,False,1.2,0,0,0,0,36,Knee injury - Unknown return date,2018-04-22T12:31:18Z,51,0,0,0,12813.jpg,1.0,0,0,Walters,0.1,False,19,i,4,90,12.0,3,1738,0,30930,0,0.0,0.6,Walters,0,0,0
81,1,6,533,None,None,12,40145,0,0,0,0,332.8,1,0,3,2.2,2.2,2,Jack,2.2,39,2,119.0,90,False,589.6,0,0,0,0,3420,,None,45,0,0,0,40145.jpg,2.6,0,0,Cork,3.6,False,4,a,4,90,265.0,100,553294,0,419154,0,0.5,22.2,Cork,7,87,88
84,4,0,204,100,100,6,17349,0,0,-1,1,203.2,0,0,3,2.0,2.0,2,Aaron,2.0,30,0,73.3,153,False,232.2,0,0,0,0,1906,,2017-10-13T15:01:14Z,54,0,0,0,17349.jpg,2.2,0,0,Lennon,0.2,False,25,a,4,90,297.0,65,27264,0,23505,0,0.4,12.0,Lennon,2,41,67
87,0,0,21,100,100,1,168566,0,0,-2,2,49.3,0,0,3,0.4,0.3,0,Georges-Kévin,0.3,2,0,11.2,392,False,26.0,0,0,0,0,223,,2018-04-12T18:01:18Z,53,0,0,0,168566.jpg,1.2,0,0,Nkoudou,0.0,False,7,a,4,90,41.0,11,2201,0,2553,0,0.1,2.1,Nkoudou,1,4,0
101,6,24,699,100,100,12,42786,0,0,0,0,1127.3,5,0,3,4.1,3.8,2,Eden,3.3,27,12,317.3,104,False,928.0,0,0,0,0,2417,,2018-01-05T15:01:18Z,105,0,0,0,42786.jpg,5.1,0,0,Hazard,6.4,False,10,a,5,8,1115.0,173,1573075,0,1380932,0,0.3,16.5,Hazard,2,238,98
102,4,7,539,100,100,11,17878,0,0,-2,2,1349.3,1,0,3,4.1,3.5,0,Cesc,3.0,26,2,254.9,105,False,713.8,0,0,0,0,2300,,2018-01-16T14:01:16Z,68,0,0,0,17878.jpg,2.8,1,0,Fàbregas,3.1,False,4,a,5,8,485.0,89,423827,0,709968,0,0.4,13.1,Fàbregas,4,6,98
103,8,13,522,100,100,9,47431,0,0,0,0,891.5,3,0,3,2.1,2.0,1,Willian,1.5,19,6,224.5,106,False,640.0,0,0,0,0,1874,,2018-02-05T20:01:21Z,70,0,0,0,47431.jpg,3.6,0,0,Borges Da Silva,12.6,False,22,a,5,8,715.0,130,1740578,0,1958002,0,0.2,18.6,Willian,1,108,98
104,2,2,272,100,100,8,49579,0,0,-3,3,410.0,1,0,3,1.7,1.7,1,Pedro,1.2,14,4,124.6,109,False,338.4,0,0,0,0,1511,,2018-04-08T14:31:18Z,77,0,0,0,49579.jpg,2.6,0,0,Rodríguez Ledesma,1.0,False,11,a,5,8,498.0,81,212022,0,322659,0,0.2,10.5,Pedro,1,112,0
