,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
230,1,0,53,100,100,3,84939,0,0,-1,1,42.0,0,0,4,3.5,3.3,1,Danny,1.8,0,1,24.0,237,False,57.8,0,0,0,0,262,,2018-02-24T19:31:18Z,54,0,0,0,84939.jpg,2.3,0,0,Ings,0.2,False,28,a,10,14,143.0,18,20250,0,14848,0,0.3,3.3,Ings,0,90,90
231,0,0,3,0,0,0,152760,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Divock,0.0,1,0,0.0,238,False,0.0,0,0,0,0,9,Joined Wolfsburg on season-long loan deal,2017-08-31T14:31:14Z,74,0,0,0,152760.jpg,1.0,0,0,Origi,0.2,False,27,u,10,14,0.0,1,1181,0,22047,0,0.0,0.1,Origi,0,32,0
232,2,2,107,None,None,3,154566,0,0,-4,4,199.4,0,0,4,2.0,4.1,11,Dominic,2.6,4,1,66.4,239,False,123.8,0,0,0,0,581,,None,46,0,0,0,154566.jpg,1.8,0,0,Solanke,1.6,False,29,a,10,14,350.0,38,136270,0,236665,0,0.6,8.3,Solanke,0,15,90
252,6,22,740,0,0,13,37572,0,0,0,0,570.8,4,0,4,0.0,0.0,0,Sergio,0.0,12,21,302.5,257,False,966.4,0,0,0,0,1960,Knee injury - Unknown return date,2018-04-13T13:01:19Z,115,0,0,0,37572.jpg,6.8,0,0,Agüero,10.7,False,10,i,11,43,1484.0,169,4137173,0,4192169,0,0.0,14.7,Agüero,2,201,90
253,7,18,473,100,100,9,205651,0,0,-1,1,360.3,3,0,4,7.3,7.2,5,Gabriel Fernando,5.7,12,13,204.9,259,False,603.6,0,0,0,0,1660,,2017-12-31T13:01:17Z,104,0,2,0,205651.jpg,4.3,0,0,de Jesus,17.1,False,33,a,11,43,1089.0,126,2872644,0,2552640,0,0.5,12.1,Jesus,6,79,90
281,5,11,387,100,100,10,176297,0,0,-2,2,412.1,1,0,4,2.4,3.5,8,Marcus,2.5,16,7,171.7,284,False,470.8,0,0,0,0,1799,,2018-02-11T18:01:18Z,73,0,0,0,176297.jpg,3.0,0,0,Rashford,7.6,False,19,a,12,1,838.0,104,1278245,0,1229368,0,0.3,14.2,Rashford,3,128,90
282,7,18,593,0,0,14,66749,0,0,0,0,572.4,3,0,4,0.0,0.0,0,Romelu,1.5,26,16,273.2,285,False,831.0,0,0,0,0,2866,Foot injury - Expected back 19 May,2018-04-29T17:01:20Z,115,0,1,0,66749.jpg,4.8,0,0,Lukaku,21.9,False,9,i,12,1,1334.0,162,2809880,0,4269817,0,0.1,14.1,Lukaku,4,115,141
296,3,8,276,100,100,6,104547,0,0,-4,4,333.6,2,0,4,1.3,2.0,6,Dwight,2.5,31,6,148.7,301,False,352.0,0,0,0,0,1946,,2018-01-20T16:31:17Z,61,0,0,0,104547.jpg,2.7,0,0,Gayle,1.1,False,9,a,13,4,808.0,94,153600,0,217090,0,0.4,15.4,Gayle,3,0,0
297,6,15,420,None,None,8,168580,0,0,0,0,539.0,4,0,4,4.1,5.5,13,Ayoze,6.0,28,8,191.7,302,False,571.8,0,0,0,0,2486,,None,55,1,0,0,168580.jpg,3.4,0,0,Pérez,6.5,False,17,a,13,4,809.0,124,546028,0,249099,0,1.1,22.5,Pérez,3,141,141
298,0,0,37,0,0,0,128389,0,0,-3,3,44.7,0,0,4,0.0,0.0,0,Aleksandar,0.0,0,1,16.6,303,False,48.2,0,0,0,0,89,Season-long loan to Fulham,2017-12-15T14:01:15Z,47,0,0,0,128389.jpg,1.7,0,0,Mitrovic,0.6,False,45,u,13,4,73.0,10,48968,0,156162,0,0.0,2.1,Mitrovic,0,134,90
301,1,5,227,100,100,5,61316,0,0,0,0,254.8,0,0,4,0.1,0.2,1,Jose Luis,0.7,25,4,106.5,488,False,291.2,0,0,0,0,1703,,2018-03-30T13:31:18Z,55,0,1,0,61316.jpg,2.3,0,0,Mato Sanmartín,0.4,False,21,a,13,4,526.0,69,172341,0,172219,0,0.1,12.5,Joselu,2,30,2
